n,AssignmentsBubblesort,ComparisonsBubblesort,totalOperationsBubblesort,n,AssignmentsInsertionsort,ComparisonsInsertionsort,totalOperationsInsertionsort,n,AssignmentsSelectionsort,ComparisonsSelectionsort,totalOperationsSelectionsort
8100,2720049,2822260,5542309,8100,833740,825641,1659381,8100,1214,32809049,32810263
8200,2546289,2742816,5289105,8200,858585,850386,1708971,8200,1228,33624099,33625327
8300,2625481,2688308,5313789,8300,875075,866776,1741851,8300,1243,34449149,34450392
8400,2318487,2430200,4748687,8400,943145,934746,1877891,8400,1258,35284199,35285457
8500,2957557,3023948,5981505,8500,926492,917993,1844485,8500,1272,36129249,36130521
8600,1942247,2343333,4285580,8600,958179,949580,1907759,8600,2574,36984299,36986873
8700,2599619,2028421,4628040,8700,964320,955621,1919941,8700,2600,37849349,37851949
8800,3056718,3042362,6099080,8800,987184,978385,1965569,8800,1317,38724399,38725716
8900,2957701,3261959,6219660,8900,1094660,1085761,2180421,8900,2652,39609449,39612101
9000,2673695,2568666,5242361,9000,1037933,1028934,2066867,9000,2693,40504499,40507192
9100,2764847,2580219,5345066,9100,1054442,1045343,2099785,9100,2727,41409549,41412276
9200,2778875,2167079,4945954,9200,1074323,1065124,2139447,9200,2753,42324599,42327352
9300,2295638,3710699,6006337,9300,1183539,1174240,2357779,9300,1944,43249649,43251593
9400,3322709,3894589,7217298,9400,1137656,1128257,2265913,9400,2760,44184699,44187459
9500,3625517,3657420,7282937,9500,1147945,1138446,2286391,9500,1423,45129749,45131172
9600,3387110,4027820,7414930,9600,1263280,1253681,2516961,9600,2872,46084799,46087671
9700,3523004,3743570,7266574,9700,1289279,1279580,2568859,9700,1452,47049849,47051301
9800,3453656,4170744,7624400,9800,1294299,1284500,2578799,9800,2903,48024899,48027802
9900,3451438,2602147,6053585,9900,1251187,1241288,2492475,9900,2967,49009949,49012916
10000,3438928,2750307,6189235,10000,1266249,1256250,2522499,10000,2994,50004999,50007993
